,ori,,,
1582891717414,137.76038,-15.655587,-0.9681093,DATA
1582891717442,137.80157,-14.847368,-1.2665019,DATA
1582891717452,137.59381,-15.614933,-0.8774524,DATA
1582891717470,137.65625,-15.190568,-1.1551979,DATA
1582891717502,137.48541,-15.700795,-0.780746,DATA
1582891717510,137.56122,-15.72426,-1.0049115,DATA
1582891717528,137.482,-15.618884,-0.746887,DATA
1582891717548,137.52545,-15.94249,-0.82820123,DATA
1582891717568,137.59137,-15.576818,-0.837676,DATA
1582891717587,137.4505,-16.198471,-0.59143823,DATA
1582891717626,137.50076,-15.765346,-0.8943946,DATA
1582891717626,137.18018,-16.150732,-0.34892532,DATA
1582891717644,137.11725,-16.087343,-0.7053685,DATA
1582891717661,136.76553,-15.864308,-0.15635687,DATA
1582891717688,136.50616,-16.334984,-0.28435904,DATA
1582891717703,136.13608,-15.730013,0.018162755,DATA
1582891717720,135.58276,-16.388565,0.41539308,DATA
1582891717738,135.16156,-15.903519,0.4235934,DATA
1582891717762,134.41357,-16.213749,1.19124,DATA
1582891717779,133.90192,-16.113815,1.0766326,DATA
1582891717812,133.12805,-15.735354,1.8321052,DATA
1582891717817,132.31937,-16.304407,2.0857422,DATA
1582891717836,131.49255,-15.26332,2.507178,DATA
1582891717854,130.33813,-16.173658,3.304747,DATA
1582891717875,129.42258,-15.539457,3.5043042,DATA
1582891717910,128.23325,-15.709585,4.421699,DATA
1582891717912,127.26785,-15.596251,4.6334414,DATA
1582891717932,126.19711,-15.16105,5.415634,DATA
1582891717954,124.98044,-15.548808,6.1677084,DATA
1582891717974,123.9801,-14.6777935,6.399011,DATA
1582891717989,122.625854,-15.422089,7.37391,DATA
1582891718007,121.575165,-15.042187,7.5583515,DATA
1582891718027,120.36017,-14.337299,8.557169,DATA
1582891718047,119.193726,-14.974057,8.881048,DATA
1582891718068,118.1781,-14.471834,9.4329605,DATA
1582891718094,116.96246,-14.910409,10.24495,DATA
1582891718103,116.2016,-14.223667,10.108146,DATA
1582891718121,115.21277,-13.86978,11.14861,DATA
